,brand,ram,storage,battery,charging,price
312,iPhone,4.0,128.0,2815.0,20.0,11590000.0
313,iPhone,4.0,256.0,2815.0,20.0,14990000.0
314,iPhone,4.0,64.0,2815.0,20.0,9990000.0
315,iPhone,4.0,128.0,2815.0,20.0,11590000.0
316,Xiaomi,6.0,128.0,5030.0,33.0,3690000.0
317,Xiaomi,8.0,128.0,5030.0,33.0,3490000.0
318,Xiaomi,3.0,64.0,5000.0,10.0,1790000.0
320,Samsung,12.0,256.0,4000.0,25.0,19290000.0
321,Samsung,12.0,512.0,4000.0,25.0,22290000.0
322,Xiaomi,6.0,128.0,5160.0,18.0,3390000.0
323,Xiaomi,4.0,128.0,5160.0,18.0,2690000.0
324,OPPO,16.0,512.0,5630.0,80.0,21990000.0
325,OPPO,16.0,512.0,5910.0,80.0,25990000.0
326,realme,8.0,256.0,5000.0,67.0,6390000.0
327,realme,8.0,512.0,5000.0,67.0,6790000.0
328,vivo,4.0,128.0,5500.0,15.0,2990000.0
329,realme,4.0,64.0,5000.0,10.0,2990000.0
330,realme,3.0,64.0,5000.0,10.0,2590000.0
331,vivo,12.0,256.0,5500.0,44.0,8990000.0
332,realme,3.0,64.0,5000.0,10.0,2490000.0
333,Samsung,8.0,128.0,3400.0,15.0,12490000.0
334,Samsung,8.0,128.0,4100.0,15.0,14490000.0
335,Samsung,8.0,256.0,3500.0,25.0,14990000.0
336,Samsung,6.0,128.0,4000.0,18.0,10990000.0
337,Samsung,6.0,64.0,3300.0,15.0,8990000.0
338,Samsung,8.0,128.0,3700.0,25.0,9490000.0
